Dátum,Pár,Akció,Záróár,RSI,RSI_jelzés,AI_predikció,Hírhangulat,Összeg_EUR
2025-03-25 23:05:11,SOLEUR,BUY,132.76,53.83,HOLD,⬆️,neutral,5.0
2025-03-25 23:06:12,SOLEUR,BUY,132.83,54.19,HOLD,⬆️,neutral,5.0
2025-03-25 23:07:13,SOLEUR,BUY,132.89,54.51,HOLD,⬆️,neutral,5.0
2025-03-25 23:08:14,SOLEUR,BUY,132.81,54.09,HOLD,⬆️,neutral,5.0
2025-03-25 23:09:16,SOLEUR,BUY,132.78,53.93,HOLD,⬆️,neutral,5.0
2025-03-25 23:10:17,SOLEUR,BUY,132.82,54.14,HOLD,⬆️,neutral,5.0
2025-03-25 23:11:18,SOLEUR,BUY,132.83,54.19,HOLD,⬆️,neutral,5.0
2025-03-25 23:12:19,SOLEUR,BUY,132.80,54.04,HOLD,⬆️,neutral,5.0
2025-03-25 23:13:20,SOLEUR,BUY,132.82,54.14,HOLD,⬆️,neutral,5.0
2025-03-25 23:14:21,SOLEUR,BUY,132.81,54.09,HOLD,⬆️,neutral,5.0
2025-03-25 23:15:22,SOLEUR,BUY,132.81,54.09,HOLD,⬆️,neutral,5.0
2025-03-25 23:16:23,SOLEUR,BUY,132.70,53.52,HOLD,⬆️,neutral,5.0
2025-03-25 23:47:10,SOLEUR,BUY,133.17,56.02,HOLD,⬆️,neutral,5.0
2025-03-25 23:47:14,SOLEUR,BUY,133.17,56.02,HOLD,⬆️,neutral,5.0
2025-03-25 23:48:15,SOLEUR,BUY,133.17,56.02,HOLD,⬆️,neutral,5.0
2025-03-25 23:49:16,SOLEUR,BUY,133.17,56.02,HOLD,⬆️,neutral,5.0
2025-03-25 23:50:18,SOLEUR,BUY,133.17,56.02,HOLD,⬆️,neutral,5.0
2025-03-25 23:54:21,SOLEUR,BUY,133.17,56.02,HOLD,⬆️,neutral,5.0
2025-03-25 23:54:24,SOLEUR,BUY,133.17,56.02,HOLD,⬆️,neutral,5.0
2025-03-25 23:55:25,SOLEUR,BUY,133.17,56.02,HOLD,⬆️,neutral,5.0
2025-03-25 23:56:26,SOLEUR,BUY,133.17,56.02,HOLD,⬆️,neutral,5.0
2025-03-25 23:57:27,SOLEUR,BUY,133.17,56.02,HOLD,⬆️,neutral,5.0
